overall_rank,file_sha,repositories,occurrences,representative_name,sample_location,proposed_super_skill,review_status,novel_contribution,source_diversity_note
24,50a4f9b104357d96361e257adb70454604cd15c0,398,615,template-skill,103492-MaxPaardekam/MAKE-A-THON/.github/template/SKILL.md,,excluded-non-skill-placeholder,,excluded in the initial baseline as a non-skill template placeholder
101,3e4f6ad3411d31cd53c90f3d7e1d6e266cd211f8,191,256,architecture,25sidhx/withopus/antigravity-kit-main/antigravity-kit-main/.agent/skills/architecture/SKILL.md,application-engineering,reviewed-retained,"architecture decision record: constraints, alternatives, rationale, and revisit signal",metadata score 4; margin 3
102,e392706af5d1b6b7c03738526c1251f122873f1e,190,297,investor-materials,0xAlgoRhythm/TranscriptRegistry/.claude/.agents/skills/investor-materials/SKILL.md,marketing-and-growth,reviewed-retained,cross-asset factual consistency for fundraising materials,metadata score 4; margin 3
103,942bfe89600f6a041d3458619e61f1d7841ebb4f,190,231,skill-creator,4sizn/ws-network/.agents/skills/skill-creator/SKILL.md,agent-tooling-and-orchestration,metadata-triaged,,metadata score 3; margin 3; near-duplicate of rank 13; cosine >= 0.999
104,90dfceaf2ecdc191a4dcfb0069768a9560638998,189,282,theme-factory,3ZsForInsomnia/dotfiles/ai/.agent/skills/theme-factory/SKILL.md,document-productivity,manual-review,,ambiguous metadata score 1
105,ef4500a086836a4bbaac01781a5989c5af532b05,189,223,ckm:slides,419vive/kunjia-autos-ai-chatbot/.claude/skills/slides/SKILL.md,document-productivity,metadata-triaged,,metadata score 4; margin 3
106,26b293b8d0088631c41ebefde4a650768d01cf22,188,281,imagegen-frontend-web,Alvaro-gonzalez05/aguslanding/.augment/skills/imagegen-frontend-web/SKILL.md,interface-design,metadata-triaged,,metadata score 3; margin 1
107,d943c68219d0f47512f10c5018a11fd8358e9bb5,188,257,git-guardrails-claude-code,0xAidan/polymarket-bot-test/.cursor/skills/git-guardrails-claude-code/SKILL.md,software-delivery,reviewed-retained,durable narrow guardrails for destructive developer operations,metadata score 4; margin 4
108,8b39b19f259b4216ecb07574741dd8eaa9863a07,188,245,web-artifacts-builder,4thwithme/.dotfiles/claude/plugins/cache/anthropic-agent-skills/example-skills/69c0b1a06741/skills/web-artifacts-builder/SKILL.md,interface-design,manual-review,,ambiguous metadata score 2
109,ba1156dc4677f99cf8215296f24ba24af134121c,188,211,python-patterns,5onyy/essential-ai-agent-skills/.cursor/skills/python-patterns/SKILL.md,application-engineering,metadata-triaged,,metadata score 4; margin 4
