rank,file_sha,representative_name,super_skill,decision,decision_code,reason_detail,covered_by,duplicate_of_file_sha
1,5be498e2585843c7137bf9a74e262f57415de5ce,frontend-design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
2,2f14076e59e6ce5cd6f88007421a85f0bd772520,verification-before-completion,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the completion synthesis.,research/synthesis-matrices/software-delivery.md::Completion,
3,4726215301db64a0cc4d41fc3219c61f37a30f4a,webapp-testing,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the testing synthesis.,research/synthesis-matrices/software-delivery.md::Testing,
4,f6a22ddf88fdc7e7b7603f4c9064cc51bd930ad9,pdf,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the pdf/document work synthesis.,research/synthesis-matrices/document-productivity.md::PDF/document work,
5,111d2a98c2698b5a202ddae8906f75f16ecfcffd,systematic-debugging,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the debugging synthesis.,research/synthesis-matrices/software-delivery.md::Debugging,
6,4ea72cdf014d6b18223e4248ed9444bd3953445a,receiving-code-review,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the review synthesis.,research/synthesis-matrices/software-delivery.md::Review,
7,48cfdabb87941fdce350f3d84b8e51f08b51eab9,fastapi,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the apis synthesis.,research/synthesis-matrices/application-engineering.md::APIs,
8,7a751fa946b7fd801feb504cb1af6b5b62adcf43,test-driven-development,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the testing synthesis.,research/synthesis-matrices/software-delivery.md::Testing,
9,df5000e17ef60ecf400e65bfcd3c58ff88b604c3,pptx,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the presentations synthesis.,research/synthesis-matrices/document-productivity.md::Presentations,
10,8a1a77a47d141967b246adb4da4f91037578ff7d,mcp-builder,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the tool design synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Tool design,
11,c5c881be9ebaa2bfcdd02f97de2ebd711ab78803,xlsx,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the spreadsheets synthesis.,research/synthesis-matrices/document-productivity.md::Spreadsheets,
12,9f63fee82de84cd4230e1d0e322247b61eb4c94c,canvas-design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the visual artifacts synthesis.,research/synthesis-matrices/interface-design.md::Visual artifacts,
13,65b3a402dbd09b8e83f9d637c6b553875189085c,skill-creator,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
14,d3e046a5ae107a6cb23cfb16c219837094ab35d3,pdf,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the pdf/document work synthesis.,research/synthesis-matrices/document-productivity.md::PDF/document work,
15,2951e559989765293b6fbf83942378a3c2d0cba6,docx,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the pdf/document work synthesis.,research/synthesis-matrices/document-productivity.md::PDF/document work,
16,16660d8ceb77af47986bba1c9176c2ff3f287a91,slack-gif-creator,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the visual artifacts synthesis.,research/synthesis-matrices/interface-design.md::Visual artifacts,
17,634f6fa42e4e697fa6afd293acd7fb8246574876,algorithmic-art,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the visual artifacts synthesis.,research/synthesis-matrices/interface-design.md::Visual artifacts,
18,22db189c8b17d48f94f11fa0c45343441239ff40,xlsx,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the spreadsheets synthesis.,research/synthesis-matrices/document-productivity.md::Spreadsheets,
19,a6a3f5a0798318edb6ccef716cfecce92a50d914,dispatching-parallel-agents,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the orchestration synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Orchestration,
20,bd04394c675ee54173a093c50eb74da01a2940fa,grill-me,reasoning-modes,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the adversarial review synthesis.,research/synthesis-matrices/reasoning-modes.md::Adversarial review,
21,06cd0a21ee771f6bb7aaba9341a77ca09a8c7d04,brainstorming,reasoning-modes,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the brainstorming synthesis.,research/synthesis-matrices/reasoning-modes.md::Brainstorming,
22,a5a69839ef4a161131d80b6daef10037a9686f4a,doc-coauthoring,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the workplace writing synthesis.,research/synthesis-matrices/document-productivity.md::Workplace writing,
23,600b6db41fac7e2081c7528ec6982960892c819d,frontend-design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
25,b93b875fe11cf805bdfbbe5f0e7878a7562896ac,pptx,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the presentations synthesis.,research/synthesis-matrices/document-productivity.md::Presentations,
26,b7f86598b002c99a6be96026443217b6af3c561d,skill-creator,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
27,56ea935b74f371bfeb4c7d3c19d5139df866e73b,internal-comms,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the workplace writing synthesis.,research/synthesis-matrices/document-productivity.md::Workplace writing,
28,664663895bcd11b88a632301d830b313cbabb845,docx,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the pdf/document work synthesis.,research/synthesis-matrices/document-productivity.md::PDF/document work,
29,a64d6c233a6293c05ab70f67156cc7e30284232a,ui-ux-pro-max,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
30,ceae92ab319216a68274168fba9b63b998b65997,web-design-guidelines,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
31,c3b73d8b10ba2539da543f069aabf1d156071176,writing-skills,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
32,114c6637a18676ac99b8bd34ffc7c9da61d072cb,find-skills,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the discovery synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Discovery,
33,d07025bf943345bc1cf15eb923594f889ff881f0,vercel-composition-patterns,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the architecture synthesis.,research/synthesis-matrices/application-engineering.md::Architecture,
34,d9ef1949f807d0b41ca85d9a0837ad78bf1c58de,supabase-postgres-best-practices,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the data synthesis.,research/synthesis-matrices/application-engineering.md::Data,
35,9470cfcfe231a35e46494cddbacdd395991afb1e,grill-me,reasoning-modes,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the adversarial review synthesis.,research/synthesis-matrices/reasoning-modes.md::Adversarial review,
36,c797184ee66bbfd8b60c58b5efdb91880ae8e991,find-skills,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the discovery synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Discovery,
37,33b14859f2bcd944e800d9f4dc4d71940100effa,dispatching-parallel-agents,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the orchestration synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Orchestration,
38,ed55bda2fdb0d690ea3b80a1cf28bf848c5ad2b5,diagnose,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the debugging synthesis.,research/synthesis-matrices/software-delivery.md::Debugging,
39,c308b43b4b6a856f8d721c594f0907af614b8e2e,finishing-a-development-branch,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the completion synthesis.,research/synthesis-matrices/software-delivery.md::Completion,
40,e153843cd17ae234c1f2446ba55019d6a128e18e,using-git-worktrees,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the isolation synthesis.,research/synthesis-matrices/software-delivery.md::Isolation,
41,237988de4a66dd8a71d30a2c24ebe1a86b58d04e,vercel-react-best-practices,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the frontend synthesis.,research/synthesis-matrices/application-engineering.md::Frontend,
42,44ead27ef04ffe79ade0c6df7fd696dbcf7b246b,minimalist-ui,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
43,1e7a5dc728fed0a85a28c9dfb6e78ce5a81da7db,zoom-out,reasoning-modes,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the zooming out synthesis.,research/synthesis-matrices/reasoning-modes.md::Zooming out,
44,c8a857024b80bd3a3553cdfac9a92bec3bd0175e,using-superpowers,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
45,f5375b908340e1376ed391232a31c5d82d5babfb,industrial-brutalist-ui,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
46,decdff43d05908b4c1fc2cfd2d80fc5743440934,frontend-design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
47,c8304f0c9301385e3641b052d6b25b8af11cb6c1,redesign-existing-projects,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the existing products synthesis.,research/synthesis-matrices/interface-design.md::Existing products,
48,73401865dd7440a43c5243b107a3763e0d2f4aae,vercel-react-native-skills,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the frontend synthesis.,research/synthesis-matrices/application-engineering.md::Frontend,
49,85770a38992a7c74d2b3467b03fe5bd4b1287fe6,caveman,reasoning-modes,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the compression synthesis.,research/synthesis-matrices/reasoning-modes.md::Compression,
50,d056bd183229ca93bd41cf1b8c10c6fd1f30e75f,design-an-interface,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the apis synthesis.,research/synthesis-matrices/application-engineering.md::APIs,
51,b72132fcd466da605623ffe96e370b3991fc5285,design-taste-frontend,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
52,1ad7750e572f8e28ce21090dc1049fa7eecd8cae,vercel-react-best-practices,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the frontend synthesis.,research/synthesis-matrices/application-engineering.md::Frontend,
53,437896b40cc30d87f617661c4f12ba424d303fe4,next-best-practices,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the frontend synthesis.,research/synthesis-matrices/application-engineering.md::Frontend,
