rank,super_skill,category,skill_name,file_sha,repositories,occurrences,reference_repository,reference_path,reference_commit,reference_url,license_metadata,provenance_status,reuse_policy
1,interface-design,"UI/UX, frontend, visual and brand design",frontend-design,5be498e2585843c7137bf9a74e262f57415de5ce,951,1245,anthropics/skills,skills/frontend-design/SKILL.md,00756142ab04c82a447693cf373c4e0c554d1005,https://github.com/anthropics/skills/blob/00756142ab04c82a447693cf373c4e0c554d1005/skills/frontend-design/SKILL.md,unknown,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
2,software-delivery,Software delivery workflow and quality,verification-before-completion,2f14076e59e6ce5cd6f88007421a85f0bd772520,914,1252,obra/superpowers,skills/verification-before-completion/SKILL.md,48410c7f1973bd66569a627ef27ef6619e0ba923,https://github.com/obra/superpowers/blob/48410c7f1973bd66569a627ef27ef6619e0ba923/skills/verification-before-completion/SKILL.md,MIT,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
3,software-delivery,Software delivery workflow and quality,webapp-testing,4726215301db64a0cc4d41fc3219c61f37a30f4a,781,1176,anthropics/skills,examples/webapp-testing/SKILL.md,37292f37bf4bdf33bbd75e415d5313292966e443,https://github.com/anthropics/skills/blob/37292f37bf4bdf33bbd75e415d5313292966e443/examples/webapp-testing/SKILL.md,unknown,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
4,document-productivity,"Documents, productivity and workplace content",pdf,f6a22ddf88fdc7e7b7603f4c9064cc51bd930ad9,661,1409,anthropics/skills,office-examples/pdf/SKILL.md,37292f37bf4bdf33bbd75e415d5313292966e443,https://github.com/anthropics/skills/blob/37292f37bf4bdf33bbd75e415d5313292966e443/office-examples/pdf/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
5,software-delivery,Software delivery workflow and quality,systematic-debugging,111d2a98c2698b5a202ddae8906f75f16ecfcffd,656,885,obra/superpowers,skills/systematic-debugging/SKILL.md,030a222af19c1f3a93c6eb876a7422d8e4fc0162,https://github.com/obra/superpowers/blob/030a222af19c1f3a93c6eb876a7422d8e4fc0162/skills/systematic-debugging/SKILL.md,MIT,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
6,software-delivery,Software delivery workflow and quality,receiving-code-review,4ea72cdf014d6b18223e4248ed9444bd3953445a,584,795,obra/superpowers,skills/receiving-code-review/SKILL.md,1455ac0631e2f3824229f6a31a1877dc6b96952f,https://github.com/obra/superpowers/blob/1455ac0631e2f3824229f6a31a1877dc6b96952f/skills/receiving-code-review/SKILL.md,MIT,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
7,application-engineering,"Application, framework, API and data engineering",fastapi,48cfdabb87941fdce350f3d84b8e51f08b51eab9,573,617,fastapi/fastapi,fastapi/.agents/skills/fastapi/SKILL.md,924a535a4f5d74b3e2bd4696085070ff7d8f4aa5,https://github.com/fastapi/fastapi/blob/924a535a4f5d74b3e2bd4696085070ff7d8f4aa5/fastapi/.agents/skills/fastapi/SKILL.md,MIT,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
8,software-delivery,Software delivery workflow and quality,test-driven-development,7a751fa946b7fd801feb504cb1af6b5b62adcf43,571,772,obra/superpowers,skills/test-driven-development/SKILL.md,030a222af19c1f3a93c6eb876a7422d8e4fc0162,https://github.com/obra/superpowers/blob/030a222af19c1f3a93c6eb876a7422d8e4fc0162/skills/test-driven-development/SKILL.md,MIT,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
9,document-productivity,"Documents, productivity and workplace content",pptx,df5000e17ef60ecf400e65bfcd3c58ff88b604c3,564,719,anthropics/skills,skills/pptx/SKILL.md,4e6907a33c3c0c9ce7c1836980546aaba78a34b5,https://github.com/anthropics/skills/blob/4e6907a33c3c0c9ce7c1836980546aaba78a34b5/skills/pptx/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
10,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,mcp-builder,8a1a77a47d141967b246adb4da4f91037578ff7d,555,745,anthropics/skills,mcp-builder/SKILL.md,0f77e501e6506235956d953cd2d7a2a4aa9ba133,https://github.com/anthropics/skills/blob/0f77e501e6506235956d953cd2d7a2a4aa9ba133/mcp-builder/SKILL.md,unknown,upstream exact Git blob verified,"ideas-only synthesis; no source prose, code, or assets copied"
